DEPARTAMENTO;DEP_CERCA
AMAZONAS;CAJAMARCA, LA LIBERTAD, SAN MARTIN, LORETO
ANCASH;LA LIBERTAD, LIMA, HUANUCO
APURIMAC;AYACUCHO, CUSCO, AREQUIPA
AREQUIPA;APURIMAC, AYACUCHO, CUSCO, MOQUEGUA, ICA, PUNO
AYACUCHO;APURIMAC, AREQUIPA, HUANCAVELICA, ICA
CAJAMARCA;AMAZONAS, LA LIBERTAD, LAMBAYEQUE, PIURA, SAN MARTIN
CALLAO;ANCASH, HUANCAVELICA, HUANUCO,  ICA, JUNIN, LIMA, PASCO
CUSCO;APURIMAC, AYACUCHO, MADRE DE DIOS, PUNO, AREQUIPA, UCAYALI, JUNIN
HUANCAVELICA;AYACUCHO, JUNIN, LIMA, ICA
HUANUCO;ANCASH, LIMA, PASCO, SAN MARTIN, UCAYALI
ICA;LIMA, HUANCAVELICA, AYACUCHO, AREQUIPA
JUNIN;AYACUCHO, HUANCAVELICA, CUSCO, LIMA, PASCO, UCAYALI
LA LIBERTAD;AMAZONAS, CAJAMARCA, ANCASH, LAMBAYEQUE, SAN MARTIN
LAMBAYEQUE;CAJAMARCA, LA LIBERTAD, PIURA
LIMA;ANCASH, CALLAO, HUANCAVELICA, HUANUCO,  ICA, JUNIN, PASCO
LORETO;AMAZONAS, SAN MARTIN, UCAYALI
MADRE DE DIOS;CUSCO, PUNO, UCAYALI
MOQUEGUA;AREQUIPA, TACNA, PUNO
PASCO;HUANUCO, JUNIN, LIMA, UCAYALI
PIURA;TUMBES, LAMBAYEQUE, CAJAMARCA
PUNO;AREQUIPA, CUSCO, MADRE DE DIOS, MOQUEGUA, TACNA
SAN MARTIN;AMAZONAS, LORETO, UCAYALI, HUANUCO, CAJAMARCA, LA LIBERTAD
TACNA;MOQUEGUA, PUNO
TUMBES;PIURA
UCAYALI;HUANUCO, JUNIN, PASCO, SAN MARTIN, LORETO, CUSCO
